Coturnix coromandelica,2567903,rain quail
Crassostrea gigas,29159,Pacific oyster
Crassostrea virginica,6565,eastern oyster
Ctenopharyngodon idella,7959,grass carp
Cucumis anguria,39473,gherkin
Cucumis melo,3656,muskmelon
Cucumis sativus,3659,cucumber
Cucurbita maxima,3661,winter squash
Cucurbita moschata,3662,crookneck pumpkin
Cucurbita pepo,3663,vegetable marrow
Cunninghamia lanceolata,28977,China fir
Cynara cardunculus,4265,wild artichoke
Cynoglossus semilaevis,244447,tongue sole
Cyprinus carpio,7962,common carp
Danio rerio,7955,zebrafish
Daphnia magna,35525,
Daucus carota,4039,carrot
Dianthus caryophyllus,3570,clove pink
Dictyostelium discoideum,44689,
Drosophila melanogaster,7227,fruit fly
Dysdercus peruvianus,685034,
Eisenia fetida,6396,common brandling worm
Equus caballus,9796,horse
Eragrostis curvula,38414,weeping love grass
Eriobotrya japonica,32224,loquat
Festuca arundinacea,4606,tall fescue
Festuca pratensis,4608,meadow ryegrass
Fragaria ananassa,3747,strawberry
Fraxinus excelsior,38873,European ash
Galleria mellonella,7137,greater wax moth
Gallus gallus,9031,chicken
Glycine max,3847,soybean
Gossypium barbadense,3634,sea-island cotton
Gossypium hirsutum,3635,cotton
Gryllus bimaculatus,6999,two-spotted cricket
Helianthus annuus,4232,common sunflower
Helicoverpa armigera,29058,cotton bollworm
Hevea brasiliensis,3981,para rubber tree
Homo sapiens,9606,human
Hordeum vulgare,4513,barley
Humulus lupulus,3486,European hop
Hylocereus trigonus,336126,strawberry-pear
Ictalurus punctatus,7998,channel catfish
Ixodes scapularis,6945,black-legged tick
Kalanchoe daigremontiana,23013,devil's backbone
Lactuca sativa,4236,garden lettuce
Lemna minor,4472,
Lens culinaris,3864,lentil
Linum usitatissimum,4006,flax
Liriodendron chinense x Liriodendron tulipifera,215539,
Locusta migratoria,7004,migratory locust
Lolium multiflorum,4521,Italian ryegrass
Lolium perenne,4522,perennial ryegrass
Lutzomyia longipalpis,7200,
Macaca fascicularis,9541,crab-eating macaque
Macrosteles quadrilineatus,74068,aster leafhopper
Malus domestica,3750,apple
Malus prunifolia,106564,
Malus pumila,283210,paradise apple
Mandevilla sanderi,52837,Mexican love vine
Manduca sexta,7130,tobacco hornworm
Mangifera indica,29780,mango
Manihot esculenta,3983,cassava
Medicago sativa,3879,lucerne
Medicago truncatula,3880,barrel medic
Meriones unguiculatus,10047,Mongolian gerbil
Mesocricetus auratus,10036,golden hamster
Mus musculus,10090,house mouse
Musa acuminata,4641,dwarf banana
Musa paradisiaca,89151,French plantain banana
Nerium oleander,63479,common oleander
Nicotiana benthamiana,4100,
Nicotiana glutinosa,35889,
Nicotiana otophora,4091,
Nicotiana paniculata,62141,
Nicotiana sylvestris,4096,wood tobacco
Nicotiana tabacum,4097,common tobacco
Olea europaea,4146,common olive
Oncorhynchus kisutch,8019,coho salmon
Oncorhynchus mykiss,8022,rainbow trout
Oreochromis niloticus,8128,nile tilapia
Oryctolagus cuniculus,9986,rabbit
Oryza sativa,4530,rice
Ovis aries,9940,sheep
Paralichthys olivaceus,8255,Japanese flounder
Pelargonium hortorum,4031,common geranium
Penaeus monodon,6687,black tiger shrimp
Penaeus vannamei,6689,Pacific white shrimp
Periplaneta americana,6978,American cockroach
Persea americana,3435,avocado
Petroselinum crispum,4043,parsley
Phaseolus vulgaris,3885,string bean
Pieris brassicae,7116,large cabbage white
Pimephales promelas,90988,fathead minnow
Pinus contorta,3339,lodgepole pine
Pinus massoniana,88730,Chinese red pine
Pinus sylvestris,3349,Scots pine
Pinus thunbergii,3350,Japanese black pine
Pisum sativum,3888,pea
Plutella xylostella,51655,diamondback moth
Populus alba,43335,xin bai yang
Populus canadensis,3690,Canadian poplar
Populus x beijingensis,1217306,
Potorous tridactylus,9310,long-nosed potoroo
Prunus americana,122118,goose plum
Prunus armeniaca,36596,apricot
Prunus avium,42229,sweet cherry
Prunus domestica,3758,plum
Prunus dulcis,3755,almond
Prunus persica,3760,peach
Punica granatum,22663,pomegranate
Pyrus communis,23211,pear
Pyrus pyrifolia,3767,sha li
Raphanus sativus,3726,radish
Rattus norvegicus,10116,Norway rat
Rattus rattus,10117,black rat
Retama sphaerocarpa,49838,
Rhaphiolepis bibas,2843217,loquat
Rhipicephalus microplus,6941,southern cattle tick
Rhodotorula mucilaginosa,5537,
Riptortus pedestris,329032,
Rosa odorata,267246,tea rose
Saccharum officinarum,4547,sugarcane
Scophthalmus maximus,52904,turbot
Secale cereale,4550,rye
Sitophilus oryzae,7048,rice weevil
Solanum chacoense,4108,chaco potato
Solanum habrochaites,62890,wild tomato
Solanum huancabambense,856898,
Solanum lycopersicum,4081,tomato
Solanum melongena,4111,eggplant
Solanum microdontum,73574,
Solanum pennellii,28526,
Solanum peruvianum,4082,Peruvian tomato
Solanum pimpinellifolium,4084,Currant tomato
Solanum torvum,119830,turkey berry
Solanum tuberosum,4113,potato
Solea senegalensis,28829,Senegalese sole
Sorghum bicolor,4558,sorghum
Spodoptera exigua,7107,beet armyworm
Spodoptera frugiperda,7108,fall armyworm
Spodoptera littoralis,7109,African cotton leafworm
Stylosanthes guianensis,62615,stylo
Sus scrofa,9823,pig
Tagetes erecta,13708,African marigold
Tenebrio molitor,7067,yellow mealworm
Theobroma cacao,3641,cacao
Tribolium castaneum,7070,red flour beetle
Trichogaster trichopterus,96903,three spot gourami
Trichoplusia ni,7111,cabbage looper
Triticum aestivum,4565,bread wheat
Triticum aestivum x Triticum timopheevi,4566,
Triticum turgidum,4571,poulard wheat
Vicia faba,3906,fava bean
Vigna unguiculata,3917,cowpea
Vitis vinifera,29760,wine grape
Xenopsylla cheopis,163159,oriental rat flea
Zantedeschia aethiopica,69721,pig-lily
Zantedeschia elliotiana,94108,
Zea mays,4577,maize
Ziziphus jujuba,326968,common jujube
